Admin no.,Name,AGE,CLASS,GENDER,Father's Name,Mother's Name,DOB,ph no.,email,Hoste_Id
3863,Corrie Cristol,17,11,Female,Nealson Cristol,Ashia Cristol,4/10/2005,3913038890,ncristoly@elpais.com,2
1890,Marlowe Kynaston,15,12,Female,Ado Kynaston,Farica Kynaston,10/28/2007,6402695818,akynastonz@ed.gov,4
2973,Albert Lozano,16,11,Male,Darwin Lozano,Melessa Lozano,6/3/2006,8361546065,dlozano10@webnode.com,11
5600,Osgood Zavattari,14,12,Female,Cecilius Zavattari,Rikki Zavattari,6/4/2008,1724137843,czavattari11@ebay.com,4
3184,Dewie Cordaroy,17,11,Male,Rudolfo Cordaroy,Paulita Cordaroy,8/6/2005,2151513372,rcordaroy12@wsj.com,8
2010,Adriano Franiak,16,11,Male,Pyotr Franiak,Dede Franiak,5/10/2006,6988126468,pfraniak13@rakuten.co.jp,10
4556,Lucias Angus,18,11,Male,August Angus,Peri Angus,1/9/2004,6528178371,aangus14@opensource.org,12
3278,Had Pohl,18,10,Male,Alano Pohl,Charo Pohl,6/7/2004,1067913915,apohl15@shop-pro.jp,7
1830,Aloysius Adrain,15,12,Male,Archambault Adrain,Ruth Adrain,8/25/2007,6404677834,aadrain16@elpais.com,9
3440,Renato Sennett,14,12,Female,Elwyn Sennett,Nanette Sennett,1/27/2008,3649115286,esennett17@1und1.de,4
1901,Herschel Victory,18,11,Male,Ash Victory,Vonny Victory,6/22/2004,3876266791,avictory18@google.it,11
5586,Vladimir Logue,18,11,Female,Casper Logue,Olympe Logue,7/29/2004,2785884353,clogue19@shinystat.com,5
3345,Chrisy Storah,19,10,Male,Hobey Storah,Charlena Storah,7/24/2003,9559897975,hstorah1a@loc.gov,11
2353,Cooper Tomaszynski,14,10,Female,Obadiah Tomaszynski,Jacky Tomaszynski,1/15/2008,1054781925,otomaszynski1b@nature.com,2
4437,Gene Doerffer,18,11,Female,Arte Doerffer,Cathy Doerffer,7/7/2004,7873378337,adoerffer1c@globo.com,1
1010,Milo Warcup,14,11,Female,Felizio Warcup,Luz Warcup,4/25/2008,2008733689,fwarcup1d@earthlink.net,5
3565,Matteo Dewen,14,10,Female,Salem Dewen,Leisha Dewen,12/24/2008,1064229807,sdewen1e@bing.com,1
5518,Jackson Byrch,16,10,Female,Kenyon Byrch,Emmalynne Byrch,6/2/2006,2631196995,kbyrch1f@amazonaws.com,2
4320,Meade Rames,15,11,Female,Aldo Rames,Fleur Rames,1/12/2007,6109142702,arames1g@utexas.edu,3
3432,Estevan Feldhuhn,17,10,Male,Harwell Feldhuhn,Koren Feldhuhn,5/8/2005,4755021738,hfeldhuhn1h@edublogs.org,7
3012,Maximilianus Lenoir,14,12,Male,Rodolfo Lenoir,Carlotta Lenoir,6/10/2008,2087179343,rlenoir1i@thetimes.co.uk,10
4507,Maxie Danby,16,10,Male,Hagen Danby,Randee Danby,5/31/2006,9964852702,hdanby1j@boston.com,9
5211,Andrea McGannon,19,10,Female,Gardy McGannon,Leisha McGannon,5/24/2003,6325346897,gmcgannon1k@deliciousdays.com,5
5980,Chevalier Sands,15,10,Female,Jeffy Sands,Ruperta Sands,7/29/2007,9753789972,jsands1l@bizjournals.com,1
4800,Gib Lynes,16,10,Male,Frederik Lynes,Sara Lynes,12/2/2006,2869146860,flynes1m@cyberchimps.com,11
5495,Nicolai De Domenico,16,10,Female,Dev De Domenico,Timi De Domenico,4/15/2006,9118406694,ddedomenico1n@imageshack.us,6
3602,Aldwin Trim,16,10,Male,Hershel Trim,Reeba Trim,10/16/2006,8668529189,htrim1o@ocn.ne.jp,10
4719,Marlin Beveridge,15,11,Female,Shalom Beveridge,Janel Beveridge,3/26/2007,6678358427,sbeveridge1p@chicagotribune.com,5
4388,Jodi Edmonds,19,12,Female,Decca Edmonds,Reyna Edmonds,2/3/2003,3501651274,dedmonds1q@google.fr,3
5759,Wright Lawdham,17,11,Female,Tore Lawdham,Carol-jean Lawdham,9/7/2005,4158297166,tlawdham1r@lulu.com,2
4077,Garvin Fenning,15,11,Female,Mac Fenning,Drusy Fenning,6/9/2007,9587772963,mfenning1s@uol.com.br,1
5927,Wade Killbey,15,11,Male,Lenard Killbey,Terza Killbey,7/17/2007,1828731051,lkillbey1t@nasa.gov,9
3548,Chaim Cuffley,14,11,Female,Henrik Cuffley,Elle Cuffley,11/15/2008,9043871641,hcuffley1u@businessweek.com,5
2932,Magnum Murray,18,10,Female,Umberto Murray,Adriana Murray,5/29/2004,3039292180,umurray1v@bandcamp.com,1
3541,Armin Plaister,15,11,Male,Garvy Plaister,Leontine Plaister,2/4/2007,8468982769,gplaister1w@is.gd,8
5375,Brion Hull,15,11,Male,Yancey Hull,Sarina Hull,2/24/2007,2634818210,yhull1x@ft.com,11
4600,Tabb Riedel,15,10,Female,Barney Riedel,Fleur Riedel,3/13/2007,5349347634,briedel1y@narod.ru,3
3952,Jeddy Calfe,14,10,Male,Robbie Calfe,Adriane Calfe,8/26/2008,9446260894,rcalfe1z@feedburner.com,12
2125,Terrell Woodus,16,11,Female,Raimund Woodus,Gloria Woodus,1/29/2006,5766996124,rwoodus20@spiegel.de,3
4059,Witty Menichi,16,11,Female,Terrill Menichi,Randee Menichi,8/22/2006,1786199884,tmenichi21@umn.edu,2
1869,Natale Estable,16,10,Female,Sim Estable,Marion Estable,11/20/2006,8728062098,sestable22@amazonaws.com,4
1770,Kincaid Wholesworth,15,11,Female,Prinz Wholesworth,Lilias Wholesworth,6/21/2007,8398796781,pwholesworth23@tmall.com,2
1035,Rancell Eastbury,14,10,Female,Travis Eastbury,Tiphanie Eastbury,2/29/2008,6437988032,teastbury24@adobe.com,4
1148,Hube Casacchia,16,12,Female,Desmond Casacchia,Emyle Casacchia,3/9/2006,9882738228,dcasacchia25@nhs.uk,3
4374,Hansiain Jelf,14,11,Female,Graeme Jelf,Agatha Jelf,8/13/2008,5028725588,gjelf26@illinois.edu,3
4868,Riley Fudger,16,10,Female,Hieronymus Fudger,Fredra Fudger,1/17/2006,8745791837,hfudger27@usnews.com,4
5844,Omero Eye,19,10,Female,Jeffrey Eye,Melisandra Eye,1/20/2003,5618751639,jeye28@squidoo.com,6
4639,George Lawrenceson,16,10,Male,Conrado Lawrenceson,Allyn Lawrenceson,11/26/2006,8311713063,clawrenceson29@trellian.com,8
3350,Eldin Carlon,17,10,Female,Clevey Carlon,Lucita Carlon,9/14/2005,5251659232,ccarlon2a@xinhuanet.com,6
2799,Maximo Gauson,16,11,Female,Aldridge Gauson,Zoe Gauson,9/16/2006,5449304203,agauson2b@europa.eu,3
4069,Dani Whales,15,10,Male,Maximo Whales,Shandra Whales,2/25/2007,9933116818,mwhales2c@gnu.org,9
4934,Haven Steane,19,10,Male,Den Steane,Farand Steane,6/29/2003,6766176223,dsteane2d@github.com,12
5443,Rolph Dilrew,18,11,Female,Standford Dilrew,Tabbie Dilrew,8/28/2004,6259309385,sdilrew2e@prweb.com,6
4390,Alonso Donati,18,11,Female,Curran Donati,Belicia Donati,4/23/2004,3332452464,cdonati2f@feedburner.com,2
4525,Moses Muggach,14,11,Male,Alexei Muggach,Madelle Muggach,9/24/2008,7389215641,amuggach2g@51.la,7
4034,Hector Cuddy,16,10,Male,Chip Cuddy,Crista Cuddy,4/10/2006,9896357822,ccuddy2h@patch.com,11
2313,Gilles Ogilvy,14,12,Male,George Ogilvy,Cherilynn Ogilvy,1/13/2008,4389798494,gogilvy2i@google.pl,10
3254,Darrin Riddock,16,10,Male,Cyrille Riddock,Fara Riddock,11/18/2006,1704724698,criddock2j@alibaba.com,10
1985,Barri Blazeby,16,11,Female,Morly Blazeby,Maxi Blazeby,4/27/2006,8965983484,mblazeby2k@sphinn.com,3
3380,Ali Fere,19,10,Male,Moise Fere,Gerianne Fere,4/8/2003,8642762127,mfere2l@over-blog.com,8
5668,Corney Ghidetti,14,12,Male,Lucius Ghidetti,Latashia Ghidetti,4/27/2008,8423737767,lghidetti2m@walmart.com,7
5032,Court Pietrowski,17,10,Agender,Alexio Pietrowski,Kattie Pietrowski,9/27/2005,4392905501,apietrowski2n@privacy.gov.au,5
2533,Jaye Matschek,19,12,Male,Teador Matschek,Bernadina Matschek,9/25/2003,1173982915,tmatschek2o@blinklist.com,12
2637,Gideon Markie,15,12,Female,Monty Markie,Louella Markie,3/15/2007,8461175571,mmarkie2p@ebay.co.uk,2
3307,Ingemar Ibanez,19,11,Female,Judd Ibanez,Sharyl Ibanez,7/3/2003,8261264881,jibanez2q@bbc.co.uk,4
2084,Darwin McCombe,14,11,Female,Drew McCombe,Magdalene McCombe,7/2/2008,7375256752,dmccombe2r@unicef.org,3
3431,Euell Suerz,17,12,Female,Sandro Suerz,Ambur Suerz,11/9/2005,6506689353,ssuerz2s@edublogs.org,4
2924,Alair Carbine,18,10,Female,Tod Carbine,Carine Carbine,1/3/2004,2175351099,tcarbine2t@narod.ru,5
4038,Anatollo Bocken,14,10,Male,Ruddie Bocken,Aliza Bocken,6/25/2008,2851813703,rbocken2u@shop-pro.jp,10
4109,Winn Egginson,16,11,Female,Ambrose Egginson,Felicle Egginson,11/22/2006,1598897181,aegginson2v@slate.com,2
2170,Brian Georgius,16,10,Male,Merwyn Georgius,Marianne Georgius,7/31/2006,8902363644,mgeorgius2w@nymag.com,11
2340,Jesus Singers,15,11,Male,Aron Singers,Suzann Singers,4/6/2007,6371854883,asingers2x@soup.io,11
1900,Neddie Hedlestone,16,11,Female,Gale Hedlestone,Randa Hedlestone,10/14/2006,9221231471,ghedlestone2y@linkedin.com,4
1240,Jeramey Rupel,14,12,Female,Cort Rupel,Grissel Rupel,10/4/2008,1736227853,crupel2z@cyberchimps.com,1
4871,Harvey Forsdicke,18,10,Male,Abie Forsdicke,Trenna Forsdicke,4/14/2004,8421016594,aforsdicke30@jimdo.com,10
4384,Lock Meth,15,12,Male,Jefferey Meth,Susanne Meth,10/24/2007,5792618646,jmeth31@cnbc.com,8
5815,Dewie Thomelin,14,10,Female,Base Thomelin,Reeba Thomelin,2/28/2008,3182400793,bthomelin32@bandcamp.com,4
5044,Rickey Kyndred,16,12,Male,Zackariah Kyndred,Ebba Kyndred,9/8/2006,8931964448,zkyndred33@multiply.com,10
3180,Mayer Bergstrand,16,10,Male,Ellery Bergstrand,Sunshine Bergstrand,8/22/2006,1546814116,ebergstrand34@networkadvertising.org,10
3056,Auberon Breit,15,12,Female,Arron Breit,Piper Breit,4/6/2007,1632642529,abreit35@toplist.cz,1
1640,Berk Skeeles,15,12,Female,Lowrance Skeeles,Tove Skeeles,2/7/2007,1578920460,lskeeles36@vk.com,6
2028,Burg Cattenach,19,12,Female,Alvis Cattenach,Bettina Cattenach,9/7/2003,1639983063,acattenach37@blog.com,3
2244,Jayme Garretts,19,12,Male,Kellen Garretts,Greer Garretts,4/18/2003,2356268819,kgarretts38@china.com.cn,8
1310,Mick Harding,16,10,Male,Maddie Harding,Twila Harding,12/17/2006,7519410308,mharding39@csmonitor.com,9
1264,Zach Wareham,16,10,Male,Alexander Wareham,Leonelle Wareham,10/23/2006,7888876980,awareham3a@flickr.com,11
3277,Orlando Gerner,19,12,Male,Carce Gerner,Trudy Gerner,5/12/2003,2006049386,cgerner3b@storify.com,10
